,ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,service,duration,orig_bytes,resp_bytes,conn_state,local_orig,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,label
214366,1536227361.755808,C7T7KPkHJOy1JlrKf,192.168.100.111,18088.0,148.74.32.4,80.0,tcp,-,2e-06,0,0,S0,-,-,0.0,S,2.0,80.0,0.0,0.0,PartOfAHorizontalPortScan
258480,1536227430.864998,ChRB4q4fib3YMTFzb1,192.168.100.111,17832.0,197.62.167.234,37215.0,tcp,-,2e-06,0,0,S0,-,-,0.0,S,2.0,80.0,0.0,0.0,Okiru
260873,1536227434.75202,CxkcVo4jC0G7WD5ach,192.168.100.111,18344.0,156.251.17.109,52869.0,tcp,-,2e-06,0,0,S0,-,-,0.0,S,2.0,80.0,0.0,0.0,DDoS
265214,1536227441.798745,C5ZhUC46NaQo3zB0Y7,192.168.100.111,17576.0,53.169.193.20,8081.0,tcp,-,2e-06,0,0,S0,-,-,0.0,S,2.0,80.0,0.0,0.0,PartOfAHorizontalPortScan
265470,1536227441.986384,CExBsnCUj5LkeQYj2,192.168.100.111,17832.0,41.201.5.219,37215.0,tcp,-,2e-06,0,0,S0,-,-,0.0,S,2.0,80.0,0.0,0.0,Okiru
266399,1536227443.818825,CPyYR72vfyS9zZNoM7,192.168.100.111,18088.0,57.175.126.181,80.0,tcp,-,6e-06,0,0,S0,-,-,0.0,S,2.0,80.0,0.0,0.0,PartOfAHorizontalPortScan
268631,1536227447.041491,CPDLkI3f3ClSJWuelj,192.168.100.111,17832.0,197.222.77.103,37215.0,tcp,-,2e-06,0,0,S0,-,-,0.0,S,2.0,80.0,0.0,0.0,Okiru
271160,1536227451.085167,CF7msDAbs1cIWdIU2,192.168.100.111,17832.0,41.247.187.161,37215.0,tcp,-,5e-06,0,0,S0,-,-,0.0,S,2.0,80.0,0.0,0.0,Okiru
278981,1536227463.229482,C5E3D52M1KP9wreXyg,192.168.100.111,17832.0,41.217.235.224,37215.0,tcp,-,2e-06,0,0,S0,-,-,0.0,S,2.0,80.0,0.0,0.0,Okiru
296704,1536227491.539027,CypKMb0xYHgAjr0Re,192.168.100.111,17832.0,41.86.36.123,37215.0,tcp,-,2e-06,0,0,S0,-,-,0.0,S,2.0,80.0,0.0,0.0,Okiru
301151,1536227498.617732,CQbp474Iubgdzdy86k,192.168.100.111,17832.0,156.17.206.62,37215.0,tcp,-,2e-06,0,0,S0,-,-,0.0,S,2.0,80.0,0.0,0.0,Okiru
342166,1536227563.341708,Cudph01icFDoQ9cC1a,192.168.100.111,17832.0,156.6.205.234,37215.0,tcp,-,2e-06,0,0,S0,-,-,0.0,S,2.0,80.0,0.0,0.0,Okiru
358562,1536227589.438277,CfBPN14igZdWSq7Jee,192.168.100.111,18088.0,13.108.65.189,80.0,tcp,-,6e-06,0,0,S0,-,-,0.0,S,2.0,80.0,0.0,0.0,PartOfAHorizontalPortScan
368022,1536227604.589629,CKJxUC1nIfs0768och,192.168.100.111,17576.0,95.222.15.98,8081.0,tcp,-,2e-06,0,0,S0,-,-,0.0,S,2.0,80.0,0.0,0.0,PartOfAHorizontalPortScan
379536,1536227622.791468,Ck9rVy4bc2WtWcgS41,192.168.100.111,17576.0,217.54.104.221,8081.0,tcp,-,3e-06,0,0,S0,-,-,0.0,S,2.0,80.0,0.0,0.0,PartOfAHorizontalPortScan
380379,1536227623.824866,C3qjmC2b7CKDj8vJE4,192.168.100.111,18088.0,128.54.228.109,8080.0,tcp,-,5e-06,0,0,S0,-,-,0.0,S,2.0,80.0,0.0,0.0,PartOfAHorizontalPortScan
384664,1536227630.88208,Cmql4yLaq1veR97T8,192.168.100.111,17576.0,120.211.22.203,8081.0,tcp,-,6e-06,0,0,S0,-,-,0.0,S,2.0,80.0,0.0,0.0,PartOfAHorizontalPortScan
389200,1536227637.965543,CUFAXj319X2t18NLrf,192.168.100.111,17576.0,35.48.25.135,8081.0,tcp,-,2e-06,0,0,S0,-,-,0.0,S,2.0,80.0,0.0,0.0,PartOfAHorizontalPortScan
392624,1536227643.046133,CjIBqM1jrvzwhyXNe8,192.168.100.111,18088.0,212.249.139.22,80.0,tcp,-,2e-06,0,0,S0,-,-,0.0,S,2.0,80.0,0.0,0.0,PartOfAHorizontalPortScan
393279,1536227644.058056,CnimE44CaxtvzqYyua,192.168.100.111,18088.0,212.192.208.139,80.0,tcp,-,2e-06,0,0,S0,-,-,0.0,S,2.0,80.0,0.0,0.0,PartOfAHorizontalPortScan
400508,1536227655.446545,CyQ2Gc1x2BpdBDZLK7,192.168.100.111,18344.0,156.202.38.176,52869.0,tcp,-,2e-06,0,0,S0,-,-,0.0,S,2.0,80.0,0.0,0.0,DDoS
431197,1536227703.926584,CEVgge4ExVoh6v4si4,192.168.100.111,17832.0,41.204.109.50,37215.0,tcp,-,2e-06,0,0,S0,-,-,0.0,S,2.0,80.0,0.0,0.0,Okiru
437386,1536227713.834922,CvU9V82gFPVveDXr4c,192.168.100.111,18088.0,36.43.178.110,80.0,tcp,-,2e-06,0,0,S0,-,-,0.0,S,2.0,80.0,0.0,0.0,PartOfAHorizontalPortScan
438726,1536227715.860763,CwpmUm4dit3KnBEfQ8,192.168.100.111,18088.0,212.82.108.80,80.0,tcp,-,2e-06,0,0,S0,-,-,0.0,S,2.0,80.0,0.0,0.0,PartOfAHorizontalPortScan
453219,1536227739.093987,CiN8O5bjLrLsp7jp8,192.168.100.111,17576.0,88.114.24.1,8081.0,tcp,-,2e-06,0,0,S0,-,-,0.0,S,2.0,80.0,0.0,0.0,PartOfAHorizontalPortScan
455701,1536227742.451319,CT0cIi2phe45UcrmO6,192.168.100.111,18344.0,41.24.236.156,52869.0,tcp,-,2e-06,0,0,S0,-,-,0.0,S,2.0,80.0,0.0,0.0,DDoS
469356,1536227764.39254,C6m4w8mmqFSQpSrP1,192.168.100.111,18088.0,212.75.29.21,80.0,tcp,-,2e-06,0,0,S0,-,-,0.0,S,2.0,80.0,0.0,0.0,PartOfAHorizontalPortScan
718,1545336791.530581,CFLuWE4DXovbO2DDUk,192.168.1.197,44002.0,156.34.144.177,52869.0,tcp,-,-,-,-,S0,-,-,0.0,S,1.0,40.0,0.0,0.0,PartOfAHorizontalPortScan
56743,1545336879.617811,Cf7RoErT3AbtYulAb,192.168.1.197,38114.0,166.177.194.15,8081.0,tcp,-,-,-,-,S0,-,-,0.0,S,1.0,40.0,0.0,0.0,PartOfAHorizontalPortScan
59466,1545336883.7517052,CBwjCX1bLvHRlYW1K9,192.168.1.197,43746.0,212.82.54.89,80.0,tcp,-,-,-,-,S0,-,-,0.0,S,1.0,40.0,0.0,0.0,PartOfAHorizontalPortScan
100258,1545336948.367582,Civrfq22BvsEmRRfAa,192.168.1.197,38114.0,74.209.139.217,8081.0,tcp,-,-,-,-,S0,-,-,0.0,S,1.0,40.0,0.0,0.0,PartOfAHorizontalPortScan
105229,1545336956.240335,Cz6gDq29xHf3SgHZOj,192.168.1.197,44002.0,197.79.251.97,52869.0,tcp,-,-,-,-,S0,-,-,0.0,S,1.0,40.0,0.0,0.0,PartOfAHorizontalPortScan
132022,1545336998.689625,C6hBD54CQNPkIKkvYd,192.168.1.197,38370.0,197.28.155.189,37215.0,tcp,-,-,-,-,S0,-,-,0.0,S,1.0,40.0,0.0,0.0,Okiru
172336,1545337062.520957,CA9Pio14g9yy0NIA9a,192.168.1.197,43746.0,181.44.181.92,80.0,tcp,-,-,-,-,S0,-,-,0.0,S,1.0,40.0,0.0,0.0,PartOfAHorizontalPortScan
181721,1545337077.5771198,C4oFZ62LwcYyXoAzf8,192.168.1.197,38370.0,156.239.225.242,37215.0,tcp,-,-,-,-,S0,-,-,0.0,S,1.0,40.0,0.0,0.0,Okiru
182548,1545337078.7329571,CCDBCa3UCTRictHMZ,192.168.1.197,43746.0,221.98.76.40,80.0,tcp,-,-,-,-,S0,-,-,0.0,S,1.0,40.0,0.0,0.0,PartOfAHorizontalPortScan
184348,1545337081.627808,Cdu0QC1ZkLoQcbJvH4,192.168.1.197,38370.0,156.8.88.141,37215.0,tcp,-,-,-,-,S0,-,-,0.0,S,1.0,40.0,0.0,0.0,Okiru
210787,1545337123.342757,COd50I2g7d4B5BbGP9,192.168.1.197,38114.0,154.35.180.117,8081.0,tcp,-,-,-,-,S0,-,-,0.0,S,1.0,40.0,0.0,0.0,PartOfAHorizontalPortScan
213153,1545337127.1460881,COPIt84KOqVnVx1SU2,192.168.1.197,38370.0,197.178.70.90,37215.0,tcp,-,-,-,-,S0,-,-,0.0,S,1.0,40.0,0.0,0.0,Okiru
220423,1545337138.683009,CjXFaa4n2BrbOArrU9,192.168.1.197,43746.0,212.238.88.94,80.0,tcp,-,-,-,-,S0,-,-,0.0,S,1.0,40.0,0.0,0.0,PartOfAHorizontalPortScan
242954,1545337174.103547,C2zb1F2Bum7g79LWfl,192.168.1.197,43746.0,212.243.230.140,80.0,tcp,-,-,-,-,S0,-,-,0.0,S,1.0,40.0,0.0,0.0,PartOfAHorizontalPortScan
270185,1545337217.3916051,CWBzt84H1IRMf0uihf,192.168.1.197,38114.0,168.178.46.150,8081.0,tcp,-,-,-,-,S0,-,-,0.0,S,1.0,40.0,0.0,0.0,PartOfAHorizontalPortScan
277157,1545337228.299891,Ckarg944t4XA3tTChg,192.168.1.197,38370.0,41.234.129.10,37215.0,tcp,-,-,-,-,S0,-,-,0.0,S,1.0,40.0,0.0,0.0,Okiru
289119,1545337247.169123,C47dLC3lVgEEFzh3Te,192.168.1.197,44002.0,197.97.77.45,52869.0,tcp,-,-,-,-,S0,-,-,0.0,S,1.0,40.0,0.0,0.0,PartOfAHorizontalPortScan
305512,1545337273.088091,COjDa34QQePxzcj2nk,192.168.1.197,38114.0,87.4.133.53,8081.0,tcp,-,-,-,-,S0,-,-,0.0,S,1.0,40.0,0.0,0.0,PartOfAHorizontalPortScan
305931,1545337273.810179,Cav3674w9SBgOV5dtj,192.168.1.197,38370.0,197.242.61.17,37215.0,tcp,-,-,-,-,S0,-,-,0.0,S,1.0,40.0,0.0,0.0,Okiru
318539,1545337293.884979,CQyirB3AepA3h0Wc47,192.168.1.197,44002.0,197.179.249.194,52869.0,tcp,-,-,-,-,S0,-,-,0.0,S,1.0,40.0,0.0,0.0,PartOfAHorizontalPortScan
330006,1545337312.058113,CnY4Sj3MQWgp7yc6jb,192.168.1.197,43746.0,213.245.49.131,80.0,tcp,-,-,-,-,S0,-,-,0.0,S,1.0,40.0,0.0,0.0,PartOfAHorizontalPortScan
363251,1545337364.694339,CzzgWM1rbAZjNBlMoh,192.168.1.197,44002.0,41.157.104.22,52869.0,tcp,-,-,-,-,S0,-,-,0.0,S,1.0,40.0,0.0,0.0,PartOfAHorizontalPortScan
387929,1545337403.499708,CyVpmg2uUnALHHnmvi,192.168.1.197,43746.0,113.101.250.254,80.0,tcp,-,-,-,-,S0,-,-,0.0,S,1.0,40.0,0.0,0.0,PartOfAHorizontalPortScan
395947,1545337416.42484,C0OEQ71VZkaDAv3rul,192.168.1.197,38370.0,41.32.5.209,37215.0,tcp,-,-,-,-,S0,-,-,0.0,S,1.0,40.0,0.0,0.0,Okiru
411009,1545337439.977659,CeaXTQ1i0VuQCoxicd,192.168.1.197,38114.0,90.236.14.161,8081.0,tcp,-,-,-,-,S0,-,-,0.0,S,1.0,40.0,0.0,0.0,PartOfAHorizontalPortScan
419857,1545337454.12909,CG2x3K3FoPx3jTYLwk,192.168.1.197,38114.0,123.10.7.206,8081.0,tcp,-,-,-,-,S0,-,-,0.0,S,1.0,40.0,0.0,0.0,PartOfAHorizontalPortScan
440599,1545337486.806698,CWL4FT1qSwpOyMIUOd,192.168.1.197,43746.0,77.88.180.3,80.0,tcp,-,-,-,-,S0,-,-,0.0,S,1.0,40.0,0.0,0.0,PartOfAHorizontalPortScan
444521,1545337493.330986,CSuzPAabdrDhbBqV8,192.168.1.197,38370.0,41.140.151.25,37215.0,tcp,-,-,-,-,S0,-,-,0.0,S,1.0,40.0,0.0,0.0,Okiru
451421,1545337504.0716019,C73yz014LDH2KZaHtg,192.168.1.197,43746.0,212.146.173.94,80.0,tcp,-,-,-,-,S0,-,-,0.0,S,1.0,40.0,0.0,0.0,PartOfAHorizontalPortScan
455432,1545337510.536676,Cs46hQ1WgFNeP3Xrp,192.168.1.197,38370.0,156.25.103.208,37215.0,tcp,-,-,-,-,S0,-,-,0.0,S,1.0,40.0,0.0,0.0,Okiru
464892,1545337525.4054348,CI2aGu1hMuLVp8Gcmb,192.168.1.197,43746.0,31.233.29.155,8080.0,tcp,-,-,-,-,S0,-,-,0.0,S,1.0,40.0,0.0,0.0,Benign
471853,1545337536.571318,CP9vuEssuoHvNWU49,192.168.1.197,43746.0,212.35.79.243,8080.0,tcp,-,-,-,-,S0,-,-,0.0,S,1.0,40.0,0.0,0.0,Benign
475687,1545337542.66585,CzvdbPrIMwdDLM2N3,192.168.1.197,43746.0,212.73.232.211,80.0,tcp,-,-,-,-,S0,-,-,0.0,S,1.0,40.0,0.0,0.0,PartOfAHorizontalPortScan
481110,1545337551.01359,CpjjWH1CqQFhrRnmL4,192.168.1.197,38370.0,41.127.250.26,37215.0,tcp,-,-,-,-,S0,-,-,0.0,S,1.0,40.0,0.0,0.0,Okiru
488558,1545337562.984756,CEmyQZ3pvwKDxBlWI1,192.168.1.197,43746.0,129.98.242.126,80.0,tcp,-,-,-,-,S0,-,-,0.0,S,1.0,40.0,0.0,0.0,PartOfAHorizontalPortScan
8824,1545466964.225515,C9099T3XAjxC5dYs6k,192.168.1.195,65279.0,123.59.209.185,80.0,tcp,-,-,-,-,OTH,-,-,0.0,C,0.0,0.0,0.0,0.0,DDoS
11783,1545466970.253816,CIHNT53aD9ZuJcL8Yh,192.168.1.195,65279.0,123.59.209.185,80.0,tcp,-,-,-,-,OTH,-,-,0.0,C,0.0,0.0,0.0,0.0,DDoS
5505,1545403488.206079,CxNZhX1ZBchR2ooI72,192.168.1.196,56528.0,219.165.238.231,23.0,tcp,-,-,-,-,S0,-,-,0.0,S,1.0,60.0,0.0,0.0,Benign
16848,1545403604.289616,C1hlH44mZLiFqO3PBg,192.168.1.196,52052.0,64.121.141.182,23.0,tcp,-,3.115724,0,0,S0,-,-,0.0,S,3.0,180.0,0.0,0.0,Benign
41198,1545403857.327346,CyNsX41DhF616GqUue,192.168.1.196,43566.0,207.116.209.175,23.0,tcp,-,-,-,-,S0,-,-,0.0,S,1.0,60.0,0.0,0.0,Benign
43961,1545403886.921452,C06PVy1ucUC1bcOYZ6,192.168.1.196,59604.0,80.169.71.159,23.0,tcp,-,-,-,-,S0,-,-,0.0,S,1.0,60.0,0.0,0.0,Benign
51658,1545403964.1209471,CEmruj1CahHIoIBgd5,192.168.1.196,57392.0,87.55.133.152,23.0,tcp,-,-,-,-,S0,-,-,0.0,S,1.0,60.0,0.0,0.0,Benign
66330,1545404117.241373,CIBK1OCwG0DW7v1qh,192.168.1.196,42462.0,186.172.72.209,23.0,tcp,-,-,-,-,S0,-,-,0.0,S,1.0,60.0,0.0,0.0,Benign
80686,1545404264.319661,CmG2KJ2l78HNLWjZ83,192.168.1.196,36326.0,158.217.155.223,23.0,tcp,-,3.081999,0,0,S0,-,-,0.0,S,3.0,180.0,0.0,0.0,Benign
86404,1545404325.181008,CHRqBt2NcRUOEGMOg7,192.168.1.196,36110.0,102.230.188.170,23.0,tcp,-,3.102245,0,0,S0,-,-,0.0,S,3.0,180.0,0.0,0.0,Benign
90422,1545404363.643861,CM29hR2VwxAXsBvDA5,192.168.1.196,54354.0,109.68.145.79,23.0,tcp,-,-,-,-,S0,-,-,0.0,S,1.0,60.0,0.0,0.0,Benign
106431,1545404531.882078,CmDr422GWKKUR9rF38,192.168.1.196,48858.0,162.124.148.83,23.0,tcp,-,-,-,-,S0,-,-,0.0,S,1.0,60.0,0.0,0.0,Benign
112808,1545404594.521666,CCjbzd1VApet9gJ6si,192.168.1.196,58762.0,133.183.98.77,23.0,tcp,-,-,-,-,S0,-,-,0.0,S,1.0,60.0,0.0,0.0,Benign
115605,1545404623.729534,CLSu8G3JZwgJO8Gzgf,192.168.1.196,53908.0,98.163.204.164,23.0,tcp,-,-,-,-,S0,-,-,0.0,S,1.0,60.0,0.0,0.0,Benign
130633,1545404783.579711,CPet0V18fiSuzyDLD3,192.168.1.196,40566.0,250.191.238.235,23.0,tcp,-,3.102239,0,0,S0,-,-,0.0,S,3.0,180.0,0.0,0.0,Benign
138624,1545404865.090535,CFDuUzB0SnLojsp4j,192.168.1.196,59834.0,191.169.172.86,23.0,tcp,-,3.111712,0,0,S0,-,-,0.0,S,3.0,180.0,0.0,0.0,Benign
138670,1545404866.602667,C6u6SA2RrM4l7hcQg5,192.168.1.196,34610.0,107.154.106.72,23.0,tcp,-,-,-,-,S0,-,-,0.0,S,1.0,60.0,0.0,0.0,Benign
143836,1545404920.843014,C6DJOs3BoHmmfBOgv,192.168.1.196,52518.0,216.230.190.186,23.0,tcp,-,3.118979,0,0,S0,-,-,0.0,S,3.0,180.0,0.0,0.0,Benign
163423,1545405120.342375,CYGpmt3fjELJlqwL1h,192.168.1.196,59832.0,138.113.104.155,23.0,tcp,-,3.143190,0,0,S0,-,-,0.0,S,3.0,180.0,0.0,0.0,Benign
181667,1545405310.44255,CsWftxEK0aMS6kYbi,192.168.1.196,37176.0,33.131.72.23,23.0,tcp,-,-,-,-,S0,-,-,0.0,S,1.0,60.0,0.0,0.0,Benign
195501,1545405454.838505,CwzeFu1yTAtThQjnr2,192.168.1.196,56810.0,138.178.174.245,23.0,tcp,-,3.124457,0,0,S0,-,-,0.0,S,3.0,180.0,0.0,0.0,Benign
211142,1545405615.002986,COOsPQ334PLwSHJnmf,192.168.1.196,51516.0,141.120.68.177,23.0,tcp,-,-,-,-,S0,-,-,0.0,S,1.0,60.0,0.0,0.0,Benign
218313,1545405691.1633232,CnF3L518bb4gCmbVFb,192.168.1.196,44166.0,94.66.108.67,23.0,tcp,-,-,-,-,S0,-,-,0.0,S,1.0,60.0,0.0,0.0,Benign
221072,1545405721.562994,C4nwZk3zxrk2aMZdt9,192.168.1.196,55662.0,83.72.113.112,23.0,tcp,-,-,-,-,S0,-,-,0.0,S,1.0,60.0,0.0,0.0,Benign
223582,1545405744.903176,C9o05i4Q2Nu7m921N9,192.168.1.196,41658.0,155.34.63.127,23.0,tcp,-,3.140260,0,0,S0,-,-,0.0,S,3.0,180.0,0.0,0.0,Benign
248547,1545406003.722178,C8bOoY1jSGo2QT43a2,192.168.1.196,52370.0,136.60.135.95,23.0,tcp,-,3.124469,0,0,S0,-,-,0.0,S,3.0,180.0,0.0,0.0,Benign
271142,1545406239.721693,C2MKWS3cucYqeWMTx6,192.168.1.196,41378.0,122.154.26.129,23.0,tcp,-,-,-,-,S0,-,-,0.0,S,1.0,60.0,0.0,0.0,Benign
282271,1545406354.264815,CFYwPA1P0fBO7KXT2e,192.168.1.196,52370.0,148.255.145.188,23.0,tcp,-,3.137474,0,0,S0,-,-,0.0,S,3.0,180.0,0.0,0.0,Benign
291920,1545406453.481307,CaD2QoshOYQAgDzc2,192.168.1.196,36612.0,255.184.196.166,23.0,tcp,-,-,-,-,S0,-,-,0.0,S,1.0,60.0,0.0,0.0,Benign
295304,1545406484.841383,CSdwMv34AEKGnMbE51,192.168.1.196,53870.0,193.237.117.222,23.0,tcp,-,-,-,-,S0,-,-,0.0,S,1.0,60.0,0.0,0.0,Benign
298260,1545406515.321172,CVwaKo1LEu23t1it25,192.168.1.196,59342.0,122.201.74.107,23.0,tcp,-,-,-,-,S0,-,-,0.0,S,1.0,60.0,0.0,0.0,Benign
299718,1545406530.681188,CR3HE521BS2XkUIhV2,192.168.1.196,51048.0,104.184.143.71,23.0,tcp,-,-,-,-,S0,-,-,0.0,S,1.0,60.0,0.0,0.0,Benign
316906,1545406712.200926,Cv9BCH8zR8HbpoSl4,192.168.1.196,54032.0,120.147.234.225,23.0,tcp,-,-,-,-,S0,-,-,0.0,S,1.0,60.0,0.0,0.0,Benign
317829,1545406721.363885,CNrGAaU1TFhnJmWee,192.168.1.196,55126.0,122.56.51.36,23.0,tcp,-,3.157734,0,0,S0,-,-,0.0,S,3.0,180.0,0.0,0.0,Benign
322411,1545406766.829418,CEtCo64Ygs8BJbOjBl,192.168.1.196,38066.0,174.225.137.221,23.0,tcp,-,3.134228,0,0,S0,-,-,0.0,S,3.0,180.0,0.0,0.0,Benign
325429,1545406797.563858,Ce5N6E13EJLil8VhJ9,192.168.1.196,57896.0,135.83.90.177,23.0,tcp,-,3.118779,0,0,S0,-,-,0.0,S,3.0,180.0,0.0,0.0,Benign
330890,1545406857.760469,C7A67knXEbvLvWGq9,192.168.1.196,53044.0,194.166.88.115,23.0,tcp,-,3.080233,0,0,S0,-,-,0.0,S,3.0,180.0,0.0,0.0,Benign
333529,1545406881.32076,C2f2oR3dGQ4R8yXBr9,192.168.1.196,55286.0,10.19.113.91,23.0,tcp,-,-,-,-,S0,-,-,0.0,S,1.0,60.0,0.0,0.0,Benign
333811,1545406888.60884,CE5Dla3gV9U76xRtt3,192.168.1.196,50102.0,211.105.120.142,23.0,tcp,-,3.112728,0,0,S0,-,-,0.0,S,3.0,180.0,0.0,0.0,Benign
337519,1545406926.121172,CfaAb6XkUoo2vyFQ5,192.168.1.196,43986.0,168.131.185.185,23.0,tcp,-,-,-,-,S0,-,-,0.0,S,1.0,60.0,0.0,0.0,Benign
342114,1545406972.920709,CU0jYI4NAclvC6hM8,192.168.1.196,52928.0,192.194.157.214,23.0,tcp,-,-,-,-,S0,-,-,0.0,S,1.0,60.0,0.0,0.0,Benign
352320,1545407078.281047,CeEPaz3cA2SSbye4xl,192.168.1.196,53146.0,75.175.98.162,23.0,tcp,-,-,-,-,S0,-,-,0.0,S,1.0,60.0,0.0,0.0,Benign
380833,1545407370.120964,Cfo9zQ1JAhcbuBL3Df,192.168.1.196,33664.0,87.221.210.203,23.0,tcp,-,-,-,-,S0,-,-,0.0,S,1.0,60.0,0.0,0.0,Benign
390672,1545407475.48085,Cwh6oo2X9KBxKBlaBj,192.168.1.196,41402.0,170.183.182.136,23.0,tcp,-,-,-,-,S0,-,-,0.0,S,1.0,60.0,0.0,0.0,Benign
394567,1545407514.3116949,C79Ikm3pnGF3Cy3KI5,192.168.1.196,44706.0,117.90.97.154,23.0,tcp,-,3.092472,0,0,S0,-,-,0.0,S,3.0,180.0,0.0,0.0,Benign
430009,1545407885.960368,Cl8gJ04XDQ9BCdMZw1,192.168.1.196,35964.0,162.157.250.206,23.0,tcp,-,-,-,-,S0,-,-,0.0,S,1.0,60.0,0.0,0.0,Benign
431235,1545407895.229574,CfeUIt26qRyRtioewg,192.168.1.196,38648.0,162.220.148.162,23.0,tcp,-,3.130467,0,0,S0,-,-,0.0,S,3.0,180.0,0.0,0.0,Benign
431499,1545407901.320142,C9t8yE45K64XfYfhDh,192.168.1.196,57452.0,102.22.26.136,23.0,tcp,-,-,-,-,S0,-,-,0.0,S,1.0,60.0,0.0,0.0,Benign
437904,1545407963.640048,CpPbcn3EpKA4M3QuZ,192.168.1.196,53486.0,221.78.179.168,23.0,tcp,-,-,-,-,S0,-,-,0.0,S,1.0,60.0,0.0,0.0,Benign
480866,1545408413.986284,C1gt31fkfROHSiVog,192.168.1.196,39482.0,86.122.36.106,23.0,tcp,-,3.095745,0,0,S0,-,-,0.0,S,3.0,180.0,0.0,0.0,Benign
487625,1545408482.124969,CeKJuz4n5OZLQ4P4F2,192.168.1.196,58466.0,137.66.147.91,23.0,tcp,-,-,-,-,S0,-,-,0.0,S,1.0,60.0,0.0,0.0,Benign
43701,1545396090.215238,CXz6IB495kBUZnMOi5,192.168.1.198,36097.0,66.62.183.244,37215.0,tcp,-,-,-,-,S0,-,-,0.0,S,1.0,40.0,0.0,0.0,Okiru
54942,1545396161.270843,CS7vuq3DgDIh7yUtfe,192.168.1.198,36097.0,155.161.238.114,37215.0,tcp,-,-,-,-,S0,-,-,0.0,S,1.0,40.0,0.0,0.0,Okiru
60606,1545396197.802952,CGJKp5uUPmmGgJEt9,192.168.1.198,36097.0,197.72.87.137,37215.0,tcp,-,-,-,-,S0,-,-,0.0,S,1.0,40.0,0.0,0.0,Okiru
60921,1545396199.832543,C5sZDR2Ifn3jrK1WV2,192.168.1.198,36097.0,75.112.7.178,37215.0,tcp,-,-,-,-,S0,-,-,0.0,S,1.0,40.0,0.0,0.0,Okiru
76561,1545396298.299519,Co3HGG1fOz79TC3sx4,192.168.1.198,36097.0,40.70.11.46,37215.0,tcp,-,-,-,-,S0,-,-,0.0,S,1.0,40.0,0.0,0.0,Okiru
